Clinical_category,Episode_type,Episode_name,def_sub,spec_cd,Spec_desc,Spec_type
Endocrine/metabolic diseases,OP Acute Medical,Vitamin B deficiency,PPI_AC_MED_X075,37,Pediatric medicine,PCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin B deficiency,PPI_AC_MED_X075,38,Geriatric medicine,PCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin B deficiency,PPI_AC_MED_X075,46,Endocrinology,SCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,50,Nurse practitioner,MPCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,89,Certified clinical nurse specialist,MPCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,97,Physician assistant,MPCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,01,General practice,PCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,08,Family practice,PCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,11,Internal medicine,PCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,37,Pediatric medicine,PCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,38,Geriatric medicine,PCP
Endocrine/metabolic diseases,OP Acute Medical,Vitamin D deficiency,PPI_AC_MED_X087,46,Endocrinology,SCP
Eye and adnexa diseases,Chronic Medical,Age-related macular degeneration,PPI_CH_MED_Y134,18,Ophthalmology,SCP
Eye and adnexa diseases,Chronic Medical,Cataract,PPI_CH_MED_Y042,18,Ophthalmology,SCP
Eye and adnexa diseases,Chronic Medical,Glaucoma,PPI_CH_MED_Y135,18,Ophthalmology,SCP
Eye and adnexa diseases,Chronic Medical,Retinal detachment,PPI_CH_MED_Y128,18,Ophthalmology,SCP
Eye and adnexa diseases,Chronic Medical,Retinal vascular occlusion,PPI_CH_MED_Y129,18,Ophthalmology,SCP
Eye and adnexa diseases,Chronic Medical,Visual impairment/blind,PPI_CH_MED_Y137,18,Ophthalmology,SCP
Eye and adnexa diseases,Chronic Medical,Vitreous opacities/degeneration,PPI_CH_MED_Y136,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,50,Nurse practitioner,MPCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,89,Certified clinical nurse specialist,MPCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,97,Physician assistant,MPCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,01,General practice,PCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,08,Family practice,PCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,11,Internal medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,37,Pediatric medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,38,Geriatric medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Conjunctivitis,PPI_AC_MED_X024,41,Optometry,SCP
Eye and adnexa diseases,OP Acute Medical,Dry eye syndrome,PPI_AC_MED_X108,50,Nurse practitioner,MPCP
Eye and adnexa diseases,OP Acute Medical,Dry eye syndrome,PPI_AC_MED_X108,89,Certified clinical nurse specialist,MPCP
Eye and adnexa diseases,OP Acute Medical,Dry eye syndrome,PPI_AC_MED_X108,01,General practice,PCP
Eye and adnexa diseases,OP Acute Medical,Dry eye syndrome,PPI_AC_MED_X108,08,Family practice,PCP
Eye and adnexa diseases,OP Acute Medical,Dry eye syndrome,PPI_AC_MED_X108,11,Internal medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Dry eye syndrome,PPI_AC_MED_X108,38,Geriatric medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Dry eye syndrome,PPI_AC_MED_X108,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Dry eye syndrome,PPI_AC_MED_X108,41,Optometry,SCP
Eye and adnexa diseases,OP Acute Medical,Episcleritis and scleritis,PPI_AC_MED_X021,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Episcleritis and scleritis,PPI_AC_MED_X021,41,Optometry,SCP
Eye and adnexa diseases,OP Acute Medical,Hereditary corneal dystrophies,PPI_AC_MED_X047,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Hereditary corneal dystrophies,PPI_AC_MED_X047,41,Optometry,SCP
Eye and adnexa diseases,OP Acute Medical,Hypertensive retinopathy,PPI_AC_MED_X116,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Hypertensive retinopathy,PPI_AC_MED_X116,41,Optometry,SCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,50,Nurse practitioner,MPCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,89,Certified clinical nurse specialist,MPCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,01,General practice,PCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,08,Family practice,PCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,11,Internal medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,37,Pediatric medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,38,Geriatric medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Inflammation eyelid,PPI_AC_MED_X110,41,Optometry,SCP
Eye and adnexa diseases,OP Acute Medical,Iridocyclitis,PPI_AC_MED_X031,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Iridocyclitis,PPI_AC_MED_X031,41,Optometry,SCP
Eye and adnexa diseases,OP Acute Medical,Keratoconjunctivitis,PPI_AC_MED_X093,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Keratoconjunctivitis,PPI_AC_MED_X093,41,Optometry,SCP
Eye and adnexa diseases,OP Acute Medical,Visual disturbances,PPI_AC_MED_X118,01,General practice,PCP
Eye and adnexa diseases,OP Acute Medical,Visual disturbances,PPI_AC_MED_X118,08,Family practice,PCP
Eye and adnexa diseases,OP Acute Medical,Visual disturbances,PPI_AC_MED_X118,11,Internal medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Visual disturbances,PPI_AC_MED_X118,37,Pediatric medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Visual disturbances,PPI_AC_MED_X118,38,Geriatric medicine,PCP
Eye and adnexa diseases,OP Acute Medical,Visual disturbances,PPI_AC_MED_X118,18,Ophthalmology,SCP
Eye and adnexa diseases,OP Acute Medical,Visual disturbances,PPI_AC_MED_X118,41,Optometry,SCP
Eye and adnexa diseases,OP/ASC Procedure,Cataract surgery IOL,PPI_OP_PROC_P204,18,Ophthalmology,SCP
Eye and adnexa diseases,OP/ASC or Office Procedure,Cataract surgery sec mem,PPI_PR_PROC_P512,18,Ophthalmology,SCP
Eye and adnexa diseases,OP/ASC or Office Procedure,Glaucoma surgery,PPI_PR_PROC_P507,18,Ophthalmology,SCP
Eye and adnexa diseases,OP/ASC or Office Procedure,Retina and vitreous procedures,PPI_PR_PROC_P504,18,Ophthalmology,SCP
Eye and adnexa diseases,OP/ASC or Office Procedure,Retina/choroid destructive therapy,PPI_PR_PROC_P503,18,Ophthalmology,SCP
GI system diseases,Chronic Medical,Cirrhosis of Liver,PPI_CH_MED_Y202,01,General practice,PCP
GI system diseases,Chronic Medical,Cirrhosis of Liver,PPI_CH_MED_Y202,08,Family practice,PCP
GI system diseases,Chronic Medical,Cirrhosis of Liver,PPI_CH_MED_Y202,11,Internal medicine,PCP
GI system diseases,Chronic Medical,Cirrhosis of Liver,PPI_CH_MED_Y202,38,Geriatric medicine,PCP
GI system diseases,Chronic Medical,Cirrhosis of Liver,PPI_CH_MED_Y202,10,Gastroenterology,SCP
GI system diseases,Chronic Medical,Diverticulosis of intestine,PPI_CH_MED_Y193,01,General practice,PCP
GI system diseases,Chronic Medical,Diverticulosis of intestine,PPI_CH_MED_Y193,08,Family practice,PCP
GI system diseases,Chronic Medical,Diverticulosis of intestine,PPI_CH_MED_Y193,11,Internal medicine,PCP
GI system diseases,Chronic Medical,Diverticulosis of intestine,PPI_CH_MED_Y193,38,Geriatric medicine,PCP
GI system diseases,Chronic Medical,Diverticulosis of intestine,PPI_CH_MED_Y193,10,Gastroenterology,SCP
GI system diseases,Chronic Medical,Esophagitis/GERD,PPI_CH_MED_Y198,01,General practice,PCP
GI system diseases,Chronic Medical,Esophagitis/GERD,PPI_CH_MED_Y198,08,Family practice,PCP
GI system diseases,Chronic Medical,Esophagitis/GERD,PPI_CH_MED_Y198,11,Internal medicine,PCP
GI system diseases,Chronic Medical,Esophagitis/GERD,PPI_CH_MED_Y198,37,Pediatric medicine,PCP
GI system diseases,Chronic Medical,Esophagitis/GERD,PPI_CH_MED_Y198,38,Geriatric medicine,PCP
GI system diseases,Chronic Medical,Esophagitis/GERD,PPI_CH_MED_Y198,10,Gastroenterology,SCP
GI system diseases,Chronic Medical,Fatty liver,PPI_CH_MED_Y005,01,General practice,PCP
GI system diseases,Chronic Medical,Fatty liver,PPI_CH_MED_Y005,08,Family practice,PCP
GI system diseases,Chronic Medical,Fatty liver,PPI_CH_MED_Y005,11,Internal medicine,PCP
GI system diseases,Chronic Medical,Fatty liver,PPI_CH_MED_Y005,38,Geriatric medicine,PCP
GI system diseases,Chronic Medical,Fatty liver,PPI_CH_MED_Y005,10,Gastroenterology,SCP
GI system diseases,Chronic Medical,Gastroduodenitis,PPI_CH_MED_Y192,01,General practice,PCP
GI system diseases,Chronic Medical,Gastroduodenitis,PPI_CH_MED_Y192,08,Family practice,PCP
GI system diseases,Chronic Medical,Gastroduodenitis,PPI_CH_MED_Y192,11,Internal medicine,PCP
GI system diseases,Chronic Medical,Gastroduodenitis,PPI_CH_MED_Y192,37,Pediatric medicine,PCP
GI system diseases,Chronic Medical,Gastroduodenitis,PPI_CH_MED_Y192,38,Geriatric medicine,PCP
GI system diseases,Chronic Medical,Gastroduodenitis,PPI_CH_MED_Y192,10,Gastroenterology,SCP
GI system diseases,Chronic Medical,Inflammtory bowel disease,PPI_CH_MED_Y194,01,General practice,PCP
GI system diseases,Chronic Medical,Inflammtory bowel disease,PPI_CH_MED_Y194,08,Family practice,PCP
GI system diseases,Chronic Medical,Inflammtory bowel disease,PPI_CH_MED_Y194,11,Internal medicine,PCP
GI system diseases,Chronic Medical,Inflammtory bowel disease,PPI_CH_MED_Y194,37,Pediatric medicine,PCP
GI system diseases,Chronic Medical,Inflammtory bowel disease,PPI_CH_MED_Y194,38,Geriatric medicine,PCP
GI system diseases,Chronic Medical,Inflammtory bowel disease,PPI_CH_MED_Y194,10,Gastroenterology,SCP
GI system diseases,Chronic Medical,Irritable bowel and related,PPI_CH_MED_Y197,01,General practice,PCP
GI system diseases,Chronic Medical,Irritable bowel and related,PPI_CH_MED_Y197,08,Family practice,PCP
GI system diseases,Chronic Medical,Irritable bowel and related,PPI_CH_MED_Y197,11,Internal medicine,PCP
GI system diseases,Chronic Medical,Irritable bowel and related,PPI_CH_MED_Y197,37,Pediatric medicine,PCP
GI system diseases,Chronic Medical,Irritable bowel and related,PPI_CH_MED_Y197,38,Geriatric medicine,PCP
GI system diseases,Chronic Medical,Irritable bowel and related,PPI_CH_MED_Y197,10,Gastroenterology,SCP
GI system diseases,Chronic Medical,Peptic ulcer,PPI_CH_MED_Y199,01,General practice,PCP
GI system diseases,Chronic Medical,Peptic ulcer,PPI_CH_MED_Y199,08,Family practice,PCP
GI system diseases,Chronic Medical,Peptic ulcer,PPI_CH_MED_Y199,11,Internal medicine,PCP
GI system diseases,Chronic Medical,Peptic ulcer,PPI_CH_MED_Y199,38,Geriatric medicine,PCP
GI system diseases,Chronic Medical,Peptic ulcer,PPI_CH_MED_Y199,10,Gastroenterology,SCP
GI system diseases,IP Medical,Acute pancreatitis,PPI_IP_MED_M051,01,General practice,PCP
GI system diseases,IP Medical,Acute pancreatitis,PPI_IP_MED_M051,08,Family practice,PCP
GI system diseases,IP Medical,Acute pancreatitis,PPI_IP_MED_M051,11,Internal medicine,PCP
GI system diseases,IP Medical,Acute pancreatitis,PPI_IP_MED_M051,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Acute pancreatitis,PPI_IP_MED_M051,10,Gastroenterology,SCP
GI system diseases,IP Medical,Acute pancreatitis,PPI_IP_MED_M051,C6,Hospitalist,SCP
GI system diseases,IP Medical,Cirrhosis & alcoholic hepatitis,PPI_IP_MED_M049,01,General practice,PCP
GI system diseases,IP Medical,Cirrhosis & alcoholic hepatitis,PPI_IP_MED_M049,08,Family practice,PCP
GI system diseases,IP Medical,Cirrhosis & alcoholic hepatitis,PPI_IP_MED_M049,11,Internal medicine,PCP
GI system diseases,IP Medical,Cirrhosis & alcoholic hepatitis,PPI_IP_MED_M049,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Cirrhosis & alcoholic hepatitis,PPI_IP_MED_M049,10,Gastroenterology,SCP
GI system diseases,IP Medical,Cirrhosis & alcoholic hepatitis,PPI_IP_MED_M049,C6,Hospitalist,SCP
GI system diseases,IP Medical,"Disorders of liver except malignancy, cirrhosis or",PPI_IP_MED_M052,01,General practice,PCP
GI system diseases,IP Medical,"Disorders of liver except malignancy, cirrhosis or",PPI_IP_MED_M052,08,Family practice,PCP
GI system diseases,IP Medical,"Disorders of liver except malignancy, cirrhosis or",PPI_IP_MED_M052,11,Internal medicine,PCP
GI system diseases,IP Medical,"Disorders of liver except malignancy, cirrhosis or",PPI_IP_MED_M052,38,Geriatric medicine,PCP
GI system diseases,IP Medical,"Disorders of liver except malignancy, cirrhosis or",PPI_IP_MED_M052,10,Gastroenterology,SCP
GI system diseases,IP Medical,"Disorders of liver except malignancy, cirrhosis or",PPI_IP_MED_M052,C6,Hospitalist,SCP
GI system diseases,IP Medical,Disorders of the biliary tract,PPI_IP_MED_M053,01,General practice,PCP
GI system diseases,IP Medical,Disorders of the biliary tract,PPI_IP_MED_M053,08,Family practice,PCP
GI system diseases,IP Medical,Disorders of the biliary tract,PPI_IP_MED_M053,11,Internal medicine,PCP
GI system diseases,IP Medical,Disorders of the biliary tract,PPI_IP_MED_M053,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Disorders of the biliary tract,PPI_IP_MED_M053,10,Gastroenterology,SCP
GI system diseases,IP Medical,Disorders of the biliary tract,PPI_IP_MED_M053,C6,Hospitalist,SCP
GI system diseases,IP Medical,Gastrointestinal hemorrhage,PPI_IP_MED_M043,01,General practice,PCP
GI system diseases,IP Medical,Gastrointestinal hemorrhage,PPI_IP_MED_M043,08,Family practice,PCP
GI system diseases,IP Medical,Gastrointestinal hemorrhage,PPI_IP_MED_M043,11,Internal medicine,PCP
GI system diseases,IP Medical,Gastrointestinal hemorrhage,PPI_IP_MED_M043,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Gastrointestinal hemorrhage,PPI_IP_MED_M043,10,Gastroenterology,SCP
GI system diseases,IP Medical,Gastrointestinal hemorrhage,PPI_IP_MED_M043,C6,Hospitalist,SCP
GI system diseases,IP Medical,Gastrointestinal obstruction,PPI_IP_MED_M046,01,General practice,PCP
GI system diseases,IP Medical,Gastrointestinal obstruction,PPI_IP_MED_M046,08,Family practice,PCP
GI system diseases,IP Medical,Gastrointestinal obstruction,PPI_IP_MED_M046,11,Internal medicine,PCP
GI system diseases,IP Medical,Gastrointestinal obstruction,PPI_IP_MED_M046,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Gastrointestinal obstruction,PPI_IP_MED_M046,02,General surgery,PROC
GI system diseases,IP Medical,Gastrointestinal obstruction,PPI_IP_MED_M046,28,Colorectal surgery,PROC
GI system diseases,IP Medical,Gastrointestinal obstruction,PPI_IP_MED_M046,10,Gastroenterology,SCP
GI system diseases,IP Medical,Gastrointestinal obstruction,PPI_IP_MED_M046,C6,Hospitalist,SCP
GI system diseases,IP Medical,Infective Gastroenteritis,PPI_IP_MED_M041,01,General practice,PCP
GI system diseases,IP Medical,Infective Gastroenteritis,PPI_IP_MED_M041,08,Family practice,PCP
GI system diseases,IP Medical,Infective Gastroenteritis,PPI_IP_MED_M041,11,Internal medicine,PCP
GI system diseases,IP Medical,Infective Gastroenteritis,PPI_IP_MED_M041,37,Pediatric medicine,PCP
GI system diseases,IP Medical,Infective Gastroenteritis,PPI_IP_MED_M041,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Infective Gastroenteritis,PPI_IP_MED_M041,10,Gastroenterology,SCP
GI system diseases,IP Medical,Infective Gastroenteritis,PPI_IP_MED_M041,44,Infectious disease,SCP
GI system diseases,IP Medical,Infective Gastroenteritis,PPI_IP_MED_M041,C6,Hospitalist,SCP
GI system diseases,IP Medical,Inflammatory bowel disease,PPI_IP_MED_M045,01,General practice,PCP
GI system diseases,IP Medical,Inflammatory bowel disease,PPI_IP_MED_M045,08,Family practice,PCP
GI system diseases,IP Medical,Inflammatory bowel disease,PPI_IP_MED_M045,11,Internal medicine,PCP
GI system diseases,IP Medical,Inflammatory bowel disease,PPI_IP_MED_M045,37,Pediatric medicine,PCP
GI system diseases,IP Medical,Inflammatory bowel disease,PPI_IP_MED_M045,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Inflammatory bowel disease,PPI_IP_MED_M045,10,Gastroenterology,SCP
GI system diseases,IP Medical,Inflammatory bowel disease,PPI_IP_MED_M045,C6,Hospitalist,SCP
GI system diseases,IP Medical,Noninfective Gastroenteritis,PPI_IP_MED_M047,01,General practice,PCP
GI system diseases,IP Medical,Noninfective Gastroenteritis,PPI_IP_MED_M047,08,Family practice,PCP
GI system diseases,IP Medical,Noninfective Gastroenteritis,PPI_IP_MED_M047,11,Internal medicine,PCP
GI system diseases,IP Medical,Noninfective Gastroenteritis,PPI_IP_MED_M047,37,Pediatric medicine,PCP
GI system diseases,IP Medical,Noninfective Gastroenteritis,PPI_IP_MED_M047,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Noninfective Gastroenteritis,PPI_IP_MED_M047,10,Gastroenterology,SCP
GI system diseases,IP Medical,Noninfective Gastroenteritis,PPI_IP_MED_M047,C6,Hospitalist,SCP
GI system diseases,IP Medical,Peptic ulcer,PPI_IP_MED_M044,01,General practice,PCP
GI system diseases,IP Medical,Peptic ulcer,PPI_IP_MED_M044,08,Family practice,PCP
GI system diseases,IP Medical,Peptic ulcer,PPI_IP_MED_M044,11,Internal medicine,PCP
GI system diseases,IP Medical,Peptic ulcer,PPI_IP_MED_M044,38,Geriatric medicine,PCP
GI system diseases,IP Medical,Peptic ulcer,PPI_IP_MED_M044,10,Gastroenterology,SCP
GI system diseases,IP Medical,Peptic ulcer,PPI_IP_MED_M044,C6,Hospitalist,SCP
GI system diseases,IP Procedure,Bariatric surgery,PPI_IP_PROC_P28,02,General surgery,PROC
GI system diseases,IP Procedure,Colectomy,PPI_IP_PROC_P34,02,General surgery,PROC
GI system diseases,IP Procedure,Colectomy,PPI_IP_PROC_P34,28,Colorectal surgery,PROC
GI system diseases,IP Procedure,Colectomy,PPI_IP_PROC_P34,91,Surgical oncology,PROC
GI system diseases,IP Procedure,Peritoneal adhesiolysis,PPI_IP_PROC_P36,02,General surgery,PROC
GI system diseases,IP Procedure,Peritoneal adhesiolysis,PPI_IP_PROC_P36,91,Surgical oncology,PROC
GI system diseases,IP Procedure,Peritoneal adhesiolysis,PPI_IP_PROC_P36,16,Obstetrics/gynecology,SCP
GI system diseases,IP Procedure,Peritoneal adhesiolysis,PPI_IP_PROC_P36,98,Gynecological/oncology,SCP
GI system diseases,IP or OP/ASC Procedure,Appendectomy,PPI_IOP_PROC_P33,02,General surgery,PROC
GI system diseases,IP or OP/ASC Procedure,Cholecystectomy,PPI_IOP_PROC_P40,02,General surgery,PROC
GI system diseases,IP or OP/ASC Procedure,Foregut Procedures,PPI_IOP_PROC_P39,02,General surgery,PROC
GI system diseases,IP or OP/ASC Procedure,Foregut Procedures,PPI_IOP_PROC_P39,33,Thoracic surgery,PROC
GI system diseases,IP or OP/ASC Procedure,Foregut Procedures,PPI_IOP_PROC_P39,10,Gastroenterology,SCP
GI system diseases,IP or OP/ASC Procedure,Repair inguinal hernia,PPI_IOP_PROC_P37,02,General surgery,PROC
GI system diseases,IP or OP/ASC Procedure,Repair ventral hernia,PPI_IOP_PROC_P38,02,General surgery,PROC
GI system diseases,OP Acute Medical,Acute cholecystitis/cholangitis,PPI_AC_MED_X224,01,General practice,PCP
GI system diseases,OP Acute Medical,Acute cholecystitis/cholangitis,PPI_AC_MED_X224,08,Family practice,PCP
GI system diseases,OP Acute Medical,Acute cholecystitis/cholangitis,PPI_AC_MED_X224,11,Internal medicine,PCP
GI system diseases,OP Acute Medical,Acute cholecystitis/cholangitis,PPI_AC_MED_X224,37,Pediatric medicine,PCP
GI system diseases,OP Acute Medical,Acute cholecystitis/cholangitis,PPI_AC_MED_X224,38,Geriatric medicine,PCP
GI system diseases,OP Acute Medical,Acute cholecystitis/cholangitis,PPI_AC_MED_X224,02,General surgery,PROC
GI system diseases,OP Acute Medical,Acute cholecystitis/cholangitis,PPI_AC_MED_X224,10,Gastroenterology,SCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,50,Nurse practitioner,MPCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,89,Certified clinical nurse specialist,MPCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,97,Physician assistant,MPCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,01,General practice,PCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,08,Family practice,PCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,11,Internal medicine,PCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,37,Pediatric medicine,PCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,38,Geriatric medicine,PCP
GI system diseases,OP Acute Medical,Acute gastroduodenitis,PPI_AC_MED_X065,10,Gastroenterology,SCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,50,Nurse practitioner,MPCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,89,Certified clinical nurse specialist,MPCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,97,Physician assistant,MPCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,01,General practice,PCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,08,Family practice,PCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,11,Internal medicine,PCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,37,Pediatric medicine,PCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,38,Geriatric medicine,PCP
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,02,General surgery,PROC
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,28,Colorectal surgery,PROC
GI system diseases,OP Acute Medical,Acute hemorrhoids,PPI_AC_MED_X218,10,Gastroenterology,SCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,50,Nurse practitioner,MPCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,89,Certified clinical nurse specialist,MPCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,97,Physician assistant,MPCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,01,General practice,PCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,08,Family practice,PCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,11,Internal medicine,PCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,37,Pediatric medicine,PCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,38,Geriatric medicine,PCP
GI system diseases,OP Acute Medical,Functional dyspepsia,PPI_AC_MED_X184,10,Gastroenterology,SCP
GI system diseases,OP Acute Medical,GI hemorrhage,PPI_AC_MED_X215,01,General practice,PCP
GI system diseases,OP Acute Medical,GI hemorrhage,PPI_AC_MED_X215,08,Family practice,PCP
GI system diseases,OP Acute Medical,GI hemorrhage,PPI_AC_MED_X215,11,Internal medicine,PCP
GI system diseases,OP Acute Medical,GI hemorrhage,PPI_AC_MED_X215,37,Pediatric medicine,PCP
GI system diseases,OP Acute Medical,GI hemorrhage,PPI_AC_MED_X215,38,Geriatric medicine,PCP
GI system diseases,OP Acute Medical,GI hemorrhage,PPI_AC_MED_X215,02,General surgery,PROC
GI system diseases,OP Acute Medical,GI hemorrhage,PPI_AC_MED_X215,10,Gastroenterology,SCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,50,Nurse practitioner,MPCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,89,Certified clinical nurse specialist,MPCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,97,Physician assistant,MPCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,01,General practice,PCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,08,Family practice,PCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,11,Internal medicine,PCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,37,Pediatric medicine,PCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,38,Geriatric medicine,PCP
GI system diseases,OP Acute Medical,Gastroenteritis,PPI_AC_MED_X001,10,Gastroenterology,SCP
GI system diseases,OP Acute Medical,Intestinal obstruction,PPI_AC_MED_X198,01,General practice,PCP
GI system diseases,OP Acute Medical,Intestinal obstruction,PPI_AC_MED_X198,08,Family practice,PCP
GI system diseases,OP Acute Medical,Intestinal obstruction,PPI_AC_MED_X198,11,Internal medicine,PCP
GI system diseases,OP Acute Medical,Intestinal obstruction,PPI_AC_MED_X198,37,Pediatric medicine,PCP
GI system diseases,OP Acute Medical,Intestinal obstruction,PPI_AC_MED_X198,38,Geriatric medicine,PCP
GI system diseases,OP Acute Medical,Intestinal obstruction,PPI_AC_MED_X198,02,General surgery,PROC
GI system diseases,OP Acute Medical,Intestinal obstruction,PPI_AC_MED_X198,10,Gastroenterology,SCP
GI system diseases,OP/ASC Procedure,Colonoscopy,PPI_OP_PROC_P205,02,General surgery,PROC
GI system diseases,OP/ASC Procedure,Colonoscopy,PPI_OP_PROC_P205,28,Colorectal surgery,PROC
GI system diseases,OP/ASC Procedure,Colonoscopy,PPI_OP_PROC_P205,10,Gastroenterology,SCP
GI system diseases,OP/ASC Procedure,EGD endoscopy,PPI_OP_PROC_P209,02,General surgery,PROC
