HCPCS/CPT Code	Short Description	In CY2019 Included List?	In CY2020 Included List?	Footnote
25430	Vasc graft into carpal bone	yes	yes	
25431	Repair nonunion carpal bone	yes	yes	
25440	Repair/graft wrist bone	yes	yes	
25441	Reconstruct wrist joint	yes	yes	
25442	Reconstruct wrist joint	yes	yes	
25443	Reconstruct wrist joint	yes	yes	
25444	Reconstruct wrist joint	yes	yes	
25445	Reconstruct wrist joint	yes	yes	
25446	Wrist replacement	yes	yes	
25447	Repair wrist joints	yes	yes	
25449	Remove wrist joint implant	yes	yes	
25450	Revision of wrist joint	yes	yes	
25455	Revision of wrist joint	yes	yes	
25490	Reinforce radius	yes	yes	
25491	Reinforce ulna	yes	yes	
25492	Reinforce radius and ulna	yes	yes	
25500	Treat fracture of radius	yes	yes	
25505	Treat fracture of radius	yes	yes	
25515	Treat fracture of radius	yes	yes	
25520	Treat fracture of radius	yes	yes	
25525	Treat fracture of radius	yes	yes	
25526	Treat fracture of radius	yes	yes	
25530	Treat fracture of ulna	yes	yes	
25535	Treat fracture of ulna	yes	yes	
25545	Treat fracture of ulna	yes	yes	
25560	Treat fracture radius & ulna	yes	yes	
25565	Treat fracture radius & ulna	yes	yes	
25574	Treat fracture radius & ulna	yes	yes	
25575	Treat fracture radius/ulna	yes	yes	
25600	Treat fracture radius/ulna	yes	yes	
25605	Treat fracture radius/ulna	yes	yes	
25606	Treat fx distal radial	yes	yes	
25607	Treat fx rad extra-articul	yes	yes	
25608	Treat fx rad intra-articul	yes	yes	
25609	Treat fx radial 3+ frag	yes	yes	
25622	Treat wrist bone fracture	yes	yes	
25624	Treat wrist bone fracture	yes	yes	
25628	Treat wrist bone fracture	yes	yes	
25630	Treat wrist bone fracture	yes	yes	
25635	Treat wrist bone fracture	yes	yes	
25645	Treat wrist bone fracture	yes	yes	
25650	Treat wrist bone fracture	yes	yes	
25651	Pin ulnar styloid fracture	yes	yes	
25652	Treat fracture ulnar styloid	yes	yes	
25660	Treat wrist dislocation	yes	yes	
25670	Treat wrist dislocation	yes	yes	
25671	Pin radioulnar dislocation	yes	yes	
25675	Treat wrist dislocation	yes	yes	
25676	Treat wrist dislocation	yes	yes	
25680	Treat wrist fracture	yes	yes	
25685	Treat wrist fracture	yes	yes	
25690	Treat wrist dislocation	yes	yes	
25695	Treat wrist dislocation	yes	yes	
25800	Fusion of wrist joint	yes	yes	
25805	Fusion/graft of wrist joint	yes	yes	
25810	Fusion/graft of wrist joint	yes	yes	
25820	Fusion of hand bones	yes	yes	
25825	Fuse hand bones with graft	yes	yes	
25830	Fusion radioulnar jnt/ulna	yes	yes	
25900	Amputation of forearm	yes	yes	
25905	Amputation of forearm	yes	yes	
25907	Amputation follow-up surgery	yes	yes	
25909	Amputation follow-up surgery	yes	yes	
25915	Amputation of forearm	yes	yes	
25920	Amputate hand at wrist	yes	yes	
25922	Amputate hand at wrist	yes	yes	
25924	Amputation follow-up surgery	yes	yes	
25927	Amputation of hand	yes	yes	
25929	Amputation follow-up surgery	yes	yes	
25931	Amputation follow-up surgery	yes	yes	
25999	Forearm or wrist surgery	yes	yes	
26010	Drainage of finger abscess	yes	yes	
26011	Drainage of finger abscess	yes	yes	
26020	Drain hand tendon sheath	yes	yes	
26025	Drainage of palm bursa	yes	yes	
26030	Drainage of palm bursas	yes	yes	
26034	Treat hand bone lesion	yes	yes	
26035	Decompress fingers/hand	yes	yes	
26037	Decompress fingers/hand	yes	yes	
26040	Release palm contracture	yes	yes	
26045	Release palm contracture	yes	yes	
26055	Incise finger tendon sheath	yes	yes	
26060	Incision of finger tendon	yes	yes	
26070	Explore/treat hand joint	yes	yes	
26075	Explore/treat finger joint	yes	yes	
26080	Explore/treat finger joint	yes	yes	
26100	Biopsy hand joint lining	yes	yes	
26105	Biopsy finger joint lining	yes	yes	
26110	Biopsy finger joint lining	yes	yes	
26111	Exc hand les sc 1.5 cm/>	yes	yes	
26113	Exc hand tum deep 1.5 cm/>	yes	yes	
26115	Exc hand les sc < 1.5 cm	yes	yes	
26116	Exc hand tum deep < 1.5 cm	yes	yes	
26117	Rad resect hand tumor < 3 cm	yes	yes	
26118	Rad resect hand tumor 3 cm/>	yes	yes	
26121	Release palm contracture	yes	yes	
26123	Release palm contracture	yes	yes	
26130	Remove wrist joint lining	yes	yes	
26135	Revise finger joint each	yes	yes	
26140	Revise finger joint each	yes	yes	
26145	Tendon excision palm/finger	yes	yes	
26160	Remove tendon sheath lesion	yes	yes	
26170	Removal of palm tendon each	yes	yes	
26180	Removal of finger tendon	yes	yes	
26185	Remove finger bone	yes	yes	
26200	Remove hand bone lesion	yes	yes	
26205	Remove/graft bone lesion	yes	yes	
26210	Removal of finger lesion	yes	yes	
26215	Remove/graft finger lesion	yes	yes	
26230	Partial removal of hand bone	yes	yes	
26235	Partial removal finger bone	yes	yes	
26236	Partial removal finger bone	yes	yes	
26250	Extensive hand surgery	yes	yes	
26260	Resect prox finger tumor	yes	yes	
26262	Resect distal finger tumor	yes	yes	
26320	Removal of implant from hand	yes	yes	
26340	Manipulate finger w/anesth	yes	yes	
26341	Manipulat palm cord post inj	yes	yes	
26350	Repair finger/hand tendon	yes	yes	
26352	Repair/graft hand tendon	yes	yes	
26356	Repair finger/hand tendon	yes	yes	
26357	Repair finger/hand tendon	yes	yes	
26358	Repair/graft hand tendon	yes	yes	
26370	Repair finger/hand tendon	yes	yes	
26372	Repair/graft hand tendon	yes	yes	
26373	Repair finger/hand tendon	yes	yes	
26390	Revise hand/finger tendon	yes	yes	
26392	Repair/graft hand tendon	yes	yes	
26410	Repair hand tendon	yes	yes	
26412	Repair/graft hand tendon	yes	yes	
26415	Excision hand/finger tendon	yes	yes	
26416	Graft hand or finger tendon	yes	yes	
26418	Repair finger tendon	yes	yes	
26420	Repair/graft finger tendon	yes	yes	
26426	Repair finger/hand tendon	yes	yes	
26428	Repair/graft finger tendon	yes	yes	
26432	Repair finger tendon	yes	yes	
26433	Repair finger tendon	yes	yes	
26434	Repair/graft finger tendon	yes	yes	
26437	Realignment of tendons	yes	yes	
26440	Release palm/finger tendon	yes	yes	
26442	Release palm & finger tendon	yes	yes	
26445	Release hand/finger tendon	yes	yes	
26449	Release forearm/hand tendon	yes	yes	
26450	Incision of palm tendon	yes	yes	
26455	Incision of finger tendon	yes	yes	
26460	Incise hand/finger tendon	yes	yes	
26471	Fusion of finger tendons	yes	yes	
26474	Fusion of finger tendons	yes	yes	
26476	Tendon lengthening	yes	yes	
26477	Tendon shortening	yes	yes	
26478	Lengthening of hand tendon	yes	yes	
26479	Shortening of hand tendon	yes	yes	
26480	Transplant hand tendon	yes	yes	
26483	Transplant/graft hand tendon	yes	yes	
26485	Transplant palm tendon	yes	yes	
26489	Transplant/graft palm tendon	yes	yes	
26490	Revise thumb tendon	yes	yes	
26492	Tendon transfer with graft	yes	yes	
26494	Hand tendon/muscle transfer	yes	yes	
26496	Revise thumb tendon	yes	yes	
26497	Finger tendon transfer	yes	yes	
26498	Finger tendon transfer	yes	yes	
26499	Revision of finger	yes	yes	
26500	Hand tendon reconstruction	yes	yes	
26502	Hand tendon reconstruction	yes	yes	
26508	Release thumb contracture	yes	yes	
26510	Thumb tendon transfer	yes	yes	
26516	Fusion of knuckle joint	yes	yes	
26517	Fusion of knuckle joints	yes	yes	
26518	Fusion of knuckle joints	yes	yes	
26520	Release knuckle contracture	yes	yes	
26525	Release finger contracture	yes	yes	
26530	Revise knuckle joint	yes	yes	
26531	Revise knuckle with implant	yes	yes	
26535	Revise finger joint	yes	yes	
26536	Revise/implant finger joint	yes	yes	
26540	Repair hand joint	yes	yes	
26541	Repair hand joint with graft	yes	yes	
26542	Repair hand joint with graft	yes	yes	
26545	Reconstruct finger joint	yes	yes	
26546	Repair nonunion hand	yes	yes	
26548	Reconstruct finger joint	yes	yes	
26550	Construct thumb replacement	yes	yes	
26551	Great toe-hand transfer	yes	yes	
26553	Single transfer toe-hand	yes	yes	
26554	Double transfer toe-hand	yes	yes	
26555	Positional change of finger	yes	yes	
26556	Toe joint transfer	yes	yes	
26560	Repair of web finger	yes	yes	
26561	Repair of web finger	yes	yes	
26562	Repair of web finger	yes	yes	
26565	Correct metacarpal flaw	yes	yes	
26567	Correct finger deformity	yes	yes	
26568	Lengthen metacarpal/finger	yes	yes	
26580	Repair hand deformity	yes	yes	
26587	Reconstruct extra finger	yes	yes	
26590	Repair finger deformity	yes	yes	
26591	Repair muscles of hand	yes	yes	
26593	Release muscles of hand	yes	yes	
26596	Excision constricting tissue	yes	yes	
26600	Treat metacarpal fracture	yes	yes	
26605	Treat metacarpal fracture	yes	yes	
26607	Treat metacarpal fracture	yes	yes	
26608	Treat metacarpal fracture	yes	yes	
26615	Treat metacarpal fracture	yes	yes	
26641	Treat thumb dislocation	yes	yes	
26645	Treat thumb fracture	yes	yes	
26650	Treat thumb fracture	yes	yes	
26665	Treat thumb fracture	yes	yes	
26670	Treat hand dislocation	yes	yes	
26675	Treat hand dislocation	yes	yes	
26676	Pin hand dislocation	yes	yes	
26685	Treat hand dislocation	yes	yes	
26686	Treat hand dislocation	yes	yes	
26700	Treat knuckle dislocation	yes	yes	
26705	Treat knuckle dislocation	yes	yes	
26706	Pin knuckle dislocation	yes	yes	
26715	Treat knuckle dislocation	yes	yes	
26720	Treat finger fracture each	yes	yes	
26725	Treat finger fracture each	yes	yes	
26727	Treat finger fracture each	yes	yes	
26735	Treat finger fracture each	yes	yes	
26740	Treat finger fracture each	yes	yes	
26742	Treat finger fracture each	yes	yes	
26746	Treat finger fracture each	yes	yes	
26750	Treat finger fracture each	yes	yes	
26755	Treat finger fracture each	yes	yes	
26756	Pin finger fracture each	yes	yes	
26765	Treat finger fracture each	yes	yes	
26770	Treat finger dislocation	yes	yes	
26775	Treat finger dislocation	yes	yes	
26776	Pin finger dislocation	yes	yes	
26785	Treat finger dislocation	yes	yes	
26820	Thumb fusion with graft	yes	yes	
26841	Fusion of thumb	yes	yes	
26842	Thumb fusion with graft	yes	yes	
26843	Fusion of hand joint	yes	yes	
26844	Fusion/graft of hand joint	yes	yes	
26850	Fusion of knuckle	yes	yes	
26852	Fusion of knuckle with graft	yes	yes	
26860	Fusion of finger joint	yes	yes	
26862	Fusion/graft of finger joint	yes	yes	
26910	Amputate metacarpal bone	yes	yes	
26951	Amputation of finger/thumb	yes	yes	
26952	Amputation of finger/thumb	yes	yes	
26989	Hand/finger surgery	yes	yes	
26990	Drainage of pelvis lesion	yes	yes	
26991	Drainage of pelvis bursa	yes	yes	
26992	Drainage of bone lesion	yes	yes	
27000	Incision of hip tendon	yes	yes	
27001	Incision of hip tendon	yes	yes	
27003	Incision of hip tendon	yes	yes	
27005	Incision of hip tendon	yes	yes	
27006	Incision of hip tendons	yes	yes	
27025	Incision of hip/thigh fascia	yes	yes	
27027	Buttock fasciotomy	yes	yes	
27030	Drainage of hip joint	yes	yes	
27033	Exploration of hip joint	yes	yes	
27035	Denervation of hip joint	yes	yes	
27036	Excision of hip joint/muscle	yes	yes	
27043	Exc hip pelvis les sc 3 cm/>	yes	yes	
27045	Exc hip/pelv tum deep 5 cm/>	yes	yes	
27047	Exc hip/pelvis les sc < 3 cm	yes	yes	
27048	Exc hip/pelv tum deep < 5 cm	yes	yes	
27049	Resect hip/pelv tum < 5 cm	yes	yes	
27050	Biopsy of sacroiliac joint	yes	yes	
27052	Biopsy of hip joint	yes	yes	
27054	Removal of hip joint lining	yes	yes	
27057	Buttock fasciotomy w/dbrdmt	yes	yes	
27059	Resect hip/pelv tum 5 cm/>	yes	yes	
27060	Removal of ischial bursa	yes	yes	
27062	Remove femur lesion/bursa	yes	yes	
27065	Remove hip bone les super	yes	yes	
27066	Remove hip bone les deep	yes	yes	
27067	Remove/graft hip bone lesion	yes	yes	
27070	Part remove hip bone super	yes	yes	
27071	Part removal hip bone deep	yes	yes	
27075	Resect hip tumor	yes	yes	
27076	Resect hip tum incl acetabul	yes	yes	
27077	Resect hip tum w/innom bone	yes	yes	
27078	Rsect hip tum incl femur	yes	yes	
27080	Removal of tail bone	yes	yes	
27086	Remove hip foreign body	yes	yes	
27087	Remove hip foreign body	yes	yes	
27090	Removal of hip prosthesis	yes	yes	
27091	Removal of hip prosthesis	yes	yes	
27096	Inject sacroiliac joint	yes	yes	
27097	Revision of hip tendon	yes	yes	
27098	Transfer tendon to pelvis	yes	yes	
27100	Transfer of abdominal muscle	yes	yes	
27105	Transfer of spinal muscle	yes	yes	
27110	Transfer of iliopsoas muscle	yes	yes	
27111	Transfer of iliopsoas muscle	yes	yes	
27120	Reconstruction of hip socket	yes	yes	
27122	Reconstruction of hip socket	yes	yes	
27125	Partial hip replacement	yes	yes	
27130	Total hip arthroplasty	yes	yes	
27132	Total hip arthroplasty	yes	yes	
27134	Revise hip joint replacement	yes	yes	
27137	Revise hip joint replacement	yes	yes	
27138	Revise hip joint replacement	yes	yes	
27140	Transplant femur ridge	yes	yes	
27146	Incision of hip bone	yes	yes	
27147	Revision of hip bone	yes	yes	
27151	Incision of hip bones	yes	yes	
27156	Revision of hip bones	yes	yes	
27158	Revision of pelvis	yes	yes	
27161	Incision of neck of femur	yes	yes	
27165	Incision/fixation of femur	yes	yes	
27170	Repair/graft femur head/neck	yes	yes	
27175	Treat slipped epiphysis	yes	yes	
27176	Treat slipped epiphysis	yes	yes	
27177	Treat slipped epiphysis	yes	yes	
27178	Treat slipped epiphysis	yes	yes	
27179	Revise head/neck of femur	yes	yes	
27181	Treat slipped epiphysis	yes	yes	
27185	Revision of femur epiphysis	yes	yes	
27187	Reinforce hip bones	yes	yes	
27197	Clsd tx pelvic ring fx	yes	yes	
27198	Clsd tx pelvic ring fx	yes	yes	
27200	Treat tail bone fracture	yes	yes	
27202	Treat tail bone fracture	yes	yes	
27215	Treat pelvic fracture(s)	yes	yes	
27216	Treat pelvic ring fracture	yes	yes	
27217	Treat pelvic ring fracture	yes	yes	
27218	Treat pelvic ring fracture	yes	yes	
27220	Treat hip socket fracture	yes	yes	
27222	Treat hip socket fracture	yes	yes	
27226	Treat hip wall fracture	yes	yes	
27227	Treat hip fracture(s)	yes	yes	
27228	Treat hip fracture(s)	yes	yes	
27230	Treat thigh fracture	yes	yes	
27232	Treat thigh fracture	yes	yes	
27235	Treat thigh fracture	yes	yes	
27236	Treat thigh fracture	yes	yes	
27238	Treat thigh fracture	yes	yes	
27240	Treat thigh fracture	yes	yes	
27244	Treat thigh fracture	yes	yes	
27245	Treat thigh fracture	yes	yes	
27246	Treat thigh fracture	yes	yes	
27248	Treat thigh fracture	yes	yes	
27250	Treat hip dislocation	yes	yes	
27252	Treat hip dislocation	yes	yes	
27253	Treat hip dislocation	yes	yes	
27254	Treat hip dislocation	yes	yes	
27256	Treat hip dislocation	yes	yes	
27257	Treat hip dislocation	yes	yes	
27258	Treat hip dislocation	yes	yes	
27259	Treat hip dislocation	yes	yes	
27265	Treat hip dislocation	yes	yes	
27266	Treat hip dislocation	yes	yes	
27267	Cltx thigh fx	yes	yes	
27268	Cltx thigh fx w/mnpj	yes	yes	
27269	Optx thigh fx	yes	yes	
27275	Manipulation of hip joint	yes	yes	
27279	Arthrodesis sacroiliac joint	yes	yes	
27280	Fusion of sacroiliac joint	yes	yes	
27282	Fusion of pubic bones	yes	yes	
27284	Fusion of hip joint	yes	yes	
27286	Fusion of hip joint	yes	yes	
27290	Amputation of leg at hip	yes	yes	
27295	Amputation of leg at hip	yes	yes	
27299	Pelvis/hip joint surgery	yes	yes	
27301	Drain thigh/knee lesion	yes	yes	
27303	Drainage of bone lesion	yes	yes	
27305	Incise thigh tendon & fascia	yes	yes	
27306	Incision of thigh tendon	yes	yes	
27307	Incision of thigh tendons	yes	yes	
27310	Exploration of knee joint	yes	yes	
27325	Neurectomy hamstring	yes	yes	
27326	Neurectomy popliteal	yes	yes	
27327	Exc thigh/knee les sc < 3 cm	yes	yes	
27328	Exc thigh/knee tum deep <5cm	yes	yes	
27329	Resect thigh/knee tum < 5 cm	yes	yes	
27330	Biopsy knee joint lining	yes	yes	
27331	Explore/treat knee joint	yes	yes	
27332	Removal of knee cartilage	yes	yes	
27333	Removal of knee cartilage	yes	yes	
27334	Remove knee joint lining	yes	yes	
27335	Remove knee joint lining	yes	yes	
27337	Exc thigh/knee les sc 3 cm/>	yes	yes	
27339	Exc thigh/knee tum dep 5cm/>	yes	yes	
27340	Removal of kneecap bursa	yes	yes	
27345	Removal of knee cyst	yes	yes	
27347	Remove knee cyst	yes	yes	
27350	Removal of kneecap	yes	yes	
27355	Remove femur lesion	yes	yes	
27356	Remove femur lesion/graft	yes	yes	
27357	Remove femur lesion/graft	yes	yes	
27360	Partial removal leg bone(s)	yes	yes	
27364	Resect thigh/knee tum 5 cm/>	yes	yes	
27365	Resect femur/knee tumor	yes	yes	
27372	Removal of foreign body	yes	yes	
27380	Repair of kneecap tendon	yes	yes	
27381	Repair/graft kneecap tendon	yes	yes	
27385	Repair of thigh muscle	yes	yes	
27386	Repair/graft of thigh muscle	yes	yes	
27390	Incision of thigh tendon	yes	yes	
27391	Incision of thigh tendons	yes	yes	
27392	Incision of thigh tendons	yes	yes	
27393	Lengthening of thigh tendon	yes	yes	
27394	Lengthening of thigh tendons	yes	yes	
27395	Lengthening of thigh tendons	yes	yes	
27396	Transplant of thigh tendon	yes	yes	
27397	Transplants of thigh tendons	yes	yes	
27400	Revise thigh muscles/tendons	yes	yes	
27403	Repair of knee cartilage	yes	yes	
27405	Repair of knee ligament	yes	yes	
27407	Repair of knee ligament	yes	yes	
27409	Repair of knee ligaments	yes	yes	
27412	Autochondrocyte implant knee	yes	yes	
27415	Osteochondral knee allograft	yes	yes	
27416	Osteochondral knee autograft	yes	yes	
27418	Repair degenerated kneecap	yes	yes	
27420	Revision of unstable kneecap	yes	yes	
27422	Revision of unstable kneecap	yes	yes	
27424	Revision/removal of kneecap	yes	yes	
27425	Lat retinacular release open	yes	yes	
27427	Reconstruction knee	yes	yes	
27428	Reconstruction knee	yes	yes	
27429	Reconstruction knee	yes	yes	
27430	Revision of thigh muscles	yes	yes	
27435	Incision of knee joint	yes	yes	
27437	Revise kneecap	yes	yes	
27438	Revise kneecap with implant	yes	yes	
27440	Revision of knee joint	yes	yes	
27441	Revision of knee joint	yes	yes	
27442	Revision of knee joint	yes	yes	
27443	Revision of knee joint	yes	yes	
27445	Revision of knee joint	yes	yes	
27446	Revision of knee joint	yes	yes	
27447	Total knee arthroplasty	yes	yes	
27448	Incision of thigh	yes	yes	
27450	Incision of thigh	yes	yes	
27454	Realignment of thigh bone	yes	yes	
27455	Realignment of knee	yes	yes	
27457	Realignment of knee	yes	yes	
27465	Shortening of thigh bone	yes	yes	
27466	Lengthening of thigh bone	yes	yes	
27468	Shorten/lengthen thighs	yes	yes	
27470	Repair of thigh	yes	yes	
27472	Repair/graft of thigh	yes	yes	
27475	Surgery to stop leg growth	yes	yes	
27477	Surgery to stop leg growth	yes	yes	
27479	Surgery to stop leg growth	yes	yes	
27485	Surgery to stop leg growth	yes	yes	
27486	Revise/replace knee joint	yes	yes	
27487	Revise/replace knee joint	yes	yes	
27488	Removal of knee prosthesis	yes	yes	
27495	Reinforce thigh	yes	yes	
27496	Decompression of thigh/knee	yes	yes	
27497	Decompression of thigh/knee	yes	yes	
27498	Decompression of thigh/knee	yes	yes	
27499	Decompression of thigh/knee	yes	yes	
27500	Treatment of thigh fracture	yes	yes	
27501	Treatment of thigh fracture	yes	yes	
27502	Treatment of thigh fracture	yes	yes	
27503	Treatment of thigh fracture	yes	yes	
27506	Treatment of thigh fracture	yes	yes	
27507	Treatment of thigh fracture	yes	yes	
27508	Treatment of thigh fracture	yes	yes	
27509	Treatment of thigh fracture	yes	yes	
27510	Treatment of thigh fracture	yes	yes	
27511	Treatment of thigh fracture	yes	yes	
27513	Treatment of thigh fracture	yes	yes	
27514	Treatment of thigh fracture	yes	yes	
27516	Treat thigh fx growth plate	yes	yes	
27517	Treat thigh fx growth plate	yes	yes	
27519	Treat thigh fx growth plate	yes	yes	
27520	Treat kneecap fracture	yes	yes	
27524	Treat kneecap fracture	yes	yes	
27530	Treat knee fracture	yes	yes	
27532	Treat knee fracture	yes	yes	
27535	Treat knee fracture	yes	yes	
27536	Treat knee fracture	yes	yes	
27538	Treat knee fracture(s)	yes	yes	
27540	Treat knee fracture	yes	yes	
27550	Treat knee dislocation	yes	yes	
27552	Treat knee dislocation	yes	yes	
27556	Treat knee dislocation	yes	yes	
27557	Treat knee dislocation	yes	yes	
27558	Treat knee dislocation	yes	yes	
27560	Treat kneecap dislocation	yes	yes	
27562	Treat kneecap dislocation	yes	yes	
27566	Treat kneecap dislocation	yes	yes	
27570	Fixation of knee joint	yes	yes	
27580	Fusion of knee	yes	yes	
27590	Amputate leg at thigh	yes	yes	
27591	Amputate leg at thigh	yes	yes	
27592	Amputate leg at thigh	yes	yes	
27594	Amputation follow-up surgery	yes	yes	
27596	Amputation follow-up surgery	yes	yes	
27598	Amputate lower leg at knee	yes	yes	
27599	Leg surgery procedure	yes	yes	
27600	Decompression of lower leg	yes	yes	
27601	Decompression of lower leg	yes	yes	
27602	Decompression of lower leg	yes	yes	
27603	Drain lower leg lesion	yes	yes	
27604	Drain lower leg bursa	yes	yes	
27605	Incision of achilles tendon	yes	yes	
27606	Incision of achilles tendon	yes	yes	
27607	Treat lower leg bone lesion	yes	yes	
27610	Explore/treat ankle joint	yes	yes	
27612	Exploration of ankle joint	yes	yes	
27615	Resect leg/ankle tum < 5 cm	yes	yes	
27616	Resect leg/ankle tum 5 cm/>	yes	yes	
27618	Exc leg/ankle tum < 3 cm	yes	yes	
27619	Exc leg/ankle tum deep <5 cm	yes	yes	
27620	Explore/treat ankle joint	yes	yes	
27625	Remove ankle joint lining	yes	yes	
27626	Remove ankle joint lining	yes	yes	
27630	Removal of tendon lesion	yes	yes	
27632	Exc leg/ankle les sc 3 cm/>	yes	yes	
27634	Exc leg/ankle tum dep 5 cm/>	yes	yes	
27635	Remove lower leg bone lesion	yes	yes	
27637	Remove/graft leg bone lesion	yes	yes	
27638	Remove/graft leg bone lesion	yes	yes	
27640	Partial removal of tibia	yes	yes	
27641	Partial removal of fibula	yes	yes	
27645	Resect tibia tumor	yes	yes	
27646	Resect fibula tumor	yes	yes	
27647	Resect talus/calcaneus tum	yes	yes	
27650	Repair achilles tendon	yes	yes	
27652	Repair/graft achilles tendon	yes	yes	
27654	Repair of achilles tendon	yes	yes	
27656	Repair leg fascia defect	yes	yes	
27658	Repair of leg tendon each	yes	yes	
27659	Repair of leg tendon each	yes	yes	
27664	Repair of leg tendon each	yes	yes	
27665	Repair of leg tendon each	yes	yes	
27675	Repair lower leg tendons	yes	yes	
27676	Repair lower leg tendons	yes	yes	
27680	Release of lower leg tendon	yes	yes	
27681	Release of lower leg tendons	yes	yes	
27685	Revision of lower leg tendon	yes	yes	
27686	Revise lower leg tendons	yes	yes	
27687	Revision of calf tendon	yes	yes	
27690	Revise lower leg tendon	yes	yes	
27691	Revise lower leg tendon	yes	yes	
27695	Repair of ankle ligament	yes	yes	
27696	Repair of ankle ligaments	yes	yes	
27698	Repair of ankle ligament	yes	yes	
27700	Revision of ankle joint	yes	yes	
27702	Reconstruct ankle joint	yes	yes	
27703	Reconstruction ankle joint	yes	yes	
27704	Removal of ankle implant	yes	yes	
27705	Incision of tibia	yes	yes	
27707	Incision of fibula	yes	yes	
27709	Incision of tibia & fibula	yes	yes	
27712	Realignment of lower leg	yes	yes	
27715	Revision of lower leg	yes	yes	
27720	Repair of tibia	yes	yes	
27722	Repair/graft of tibia	yes	yes	
27724	Repair/graft of tibia	yes	yes	
27725	Repair of lower leg	yes	yes	
27726	Repair fibula nonunion	yes	yes	
27727	Repair of lower leg	yes	yes	
27730	Repair of tibia epiphysis	yes	yes	
27732	Repair of fibula epiphysis	yes	yes	
27734	Repair lower leg epiphyses	yes	yes	
27740	Repair of leg epiphyses	yes	yes	
27742	Repair of leg epiphyses	yes	yes	
27745	Reinforce tibia	yes	yes	
27750	Treatment of tibia fracture	yes	yes	
27752	Treatment of tibia fracture	yes	yes	
27756	Treatment of tibia fracture	yes	yes	
27758	Treatment of tibia fracture	yes	yes	
27759	Treatment of tibia fracture	yes	yes	
27760	Cltx medial ankle fx	yes	yes	
27762	Cltx med ankle fx w/mnpj	yes	yes	
27766	Optx medial ankle fx	yes	yes	
27767	Cltx post ankle fx	yes	yes	
27768	Cltx post ankle fx w/mnpj	yes	yes	
27769	Optx post ankle fx	yes	yes	
27780	Treatment of fibula fracture	yes	yes	
27781	Treatment of fibula fracture	yes	yes	
27784	Treatment of fibula fracture	yes	yes	
27786	Treatment of ankle fracture	yes	yes	
27788	Treatment of ankle fracture	yes	yes	
27792	Treatment of ankle fracture	yes	yes	
27808	Treatment of ankle fracture	yes	yes	
27810	Treatment of ankle fracture	yes	yes	
27814	Treatment of ankle fracture	yes	yes	
27816	Treatment of ankle fracture	yes	yes	
27818	Treatment of ankle fracture	yes	yes	
27822	Treatment of ankle fracture	yes	yes	
27823	Treatment of ankle fracture	yes	yes	
27824	Treat lower leg fracture	yes	yes	
27825	Treat lower leg fracture	yes	yes	
27826	Treat lower leg fracture	yes	yes	
27827	Treat lower leg fracture	yes	yes	
27828	Treat lower leg fracture	yes	yes	
27829	Treat lower leg joint	yes	yes	
27830	Treat lower leg dislocation	yes	yes	
27831	Treat lower leg dislocation	yes	yes	
27832	Treat lower leg dislocation	yes	yes	
27840	Treat ankle dislocation	yes	yes	
27842	Treat ankle dislocation	yes	yes	
27846	Treat ankle dislocation	yes	yes	
27848	Treat ankle dislocation	yes	yes	
27860	Fixation of ankle joint	yes	yes	
27870	Fusion of ankle joint open	yes	yes	
27871	Fusion of tibiofibular joint	yes	yes	
27880	Amputation of lower leg	yes	yes	
27881	Amputation of lower leg	yes	yes	
27882	Amputation of lower leg	yes	yes	
27884	Amputation follow-up surgery	yes	yes	
27886	Amputation follow-up surgery	yes	yes	
27888	Amputation of foot at ankle	yes	yes	
27889	Amputation of foot at ankle	yes	yes	
27892	Decompression of leg	yes	yes	
27893	Decompression of leg	yes	yes	
27894	Decompression of leg	yes	yes	
27899	Leg/ankle surgery procedure	yes	yes	
28001	Drainage of bursa of foot	yes	yes	
28002	Treatment of foot infection	yes	yes	
28003	Treatment of foot infection	yes	yes	
28005	Treat foot bone lesion	yes	yes	
28008	Incision of foot fascia	yes	yes	
28010	Incision of toe tendon	yes	yes	
28011	Incision of toe tendons	yes	yes	
28020	Exploration of foot joint	yes	yes	
28022	Exploration of foot joint	yes	yes	
28024	Exploration of toe joint	yes	yes	
28035	Decompression of tibia nerve	yes	yes	
28039	Exc foot/toe tum sc 1.5 cm/>	yes	yes	
28041	Exc foot/toe tum dep 1.5cm/>	yes	yes	
28043	Exc foot/toe tum sc < 1.5 cm	yes	yes	
28045	Exc foot/toe tum deep <1.5cm	yes	yes	
28046	Resect foot/toe tumor < 3 cm	yes	yes	
28047	Resect foot/toe tumor 3 cm/>	yes	yes	
28050	Biopsy of foot joint lining	yes	yes	
28052	Biopsy of foot joint lining	yes	yes	
28054	Biopsy of toe joint lining	yes	yes	
28055	Neurectomy foot	yes	yes	
28060	Partial removal foot fascia	yes	yes	
28062	Removal of foot fascia	yes	yes	
28070	Removal of foot joint lining	yes	yes	
28072	Removal of foot joint lining	yes	yes	
28080	Removal of foot lesion	yes	yes	
28086	Excise foot tendon sheath	yes	yes	
28088	Excise foot tendon sheath	yes	yes	
28090	Removal of foot lesion	yes	yes	
28092	Removal of toe lesions	yes	yes	
28100	Removal of ankle/heel lesion	yes	yes	
28102	Remove/graft foot lesion	yes	yes	
28103	Remove/graft foot lesion	yes	yes	
28104	Removal of foot lesion	yes	yes	
28106	Remove/graft foot lesion	yes	yes	
